ID,Time,Date,Place,Country,Continent,Latitude,Longitude,Depth,Mag,Type
iscgem17290245,1961-04-13 16:34:44.590000+00:00,1961-04-13,"151 km ENE of Kashgar, China",China,Asia,39.762,77.712,35.0,7.04,earthquake
iscgem876175,1961-02-26 18:10:52.290000+00:00,1961-02-26,"18 km NNE of Nichinan, Japan",Japan,Asia,31.739,131.475,35.0,7.54,earthquake
iscgem875970,1961-01-16 12:12:30.610000+00:00,1961-01-16,"104 km ENE of Hasaki, Japan",Japan,Asia,36.226,141.815,30.0,7.03,earthquake
iscgem875966,1961-01-16 07:20:13.560000+00:00,1961-01-16,"93 km ENE of Hasaki, Japan",Japan,Asia,36.121,141.758,30.0,7.2,earthquake
iscgem880905,1960-12-02 09:10:48.720000+00:00,1960-12-02,"77 km NNE of Taltal, Chile",Chile,South America,-24.732,-70.297,35.0,7.3,earthquake
iscgem880846,1960-11-24 06:52:47.400000+00:00,1960-11-24,south of the Fiji Islands,Fiji,Oceania,-24.678,-176.248,30.0,7.2,earthquake
iscgem880820,1960-11-20 22:01:57.160000+00:00,1960-11-20,"103 km WSW of Mórrope, Peru",Peru,South America,-6.775,-80.918,15.0,7.6,earthquake
iscgem880670,1960-11-01 08:45:59.350000+00:00,1960-11-01,"Off the coast of Araucania, Chile",Chile,South America,-38.467,-75.031,20.0,7.4,earthquake
iscgem879416,1960-06-06 05:55:48.950000+00:00,1960-06-06,"35 km S of Puerto Chacabuco, Chile",Chile,South America,-45.785,-72.889,15.0,7.7,earthquake
official19600522191120_30,1960-05-22 19:11:20+00:00,1960-05-22,1960 Great Chilean Earthquake (Valdivia Earthquake),Chile,South America,-38.143,-73.407,25.0,9.5,earthquake
official19600522185602_30,1960-05-22 18:56:02+00:00,1960-05-22,"38 km WNW of Traiguén, Chile",Chile,South America,-38.061,-73.039,25.0,7.8,earthquake
iscgem879127,1960-05-22 10:30:44.350000+00:00,1960-05-22,"26 km W of Angol, Chile",Chile,South America,-37.775,-73.017,25.0,7.14,earthquake
iscgem879106,1960-05-21 10:02:57.560000+00:00,1960-05-21,"4 km ESE of Cañete, Chile",Chile,South America,-37.824,-73.353,25.0,8.1,earthquake
iscgem878607,1960-03-23 00:23:28.290000+00:00,1960-03-23,"118 km E of Miyako, Japan",Japan,Asia,39.635,143.316,15.0,7.01,earthquake
iscgem878564,1960-03-20 17:07:31.660000+00:00,1960-03-20,"113 km ENE of Miyako, Japan",Japan,Asia,39.869,143.228,15.0,7.95,earthquake
iscgem878016,1960-01-15 09:30:21.630000+00:00,1960-01-15,"21 km SSE of Nazca, Peru",Peru,South America,-15.008,-74.867,65.0,7.1,earthquake
iscgem882896,1959-09-14 14:09:46.960000+00:00,1959-09-14,Kermadec Islands region,Kermadec Islands,Oceania,-28.84,-177.209,35.0,7.31,earthquake
iscgem882673,1959-08-18 06:37:20.430000+00:00,1959-08-18,"17 km ESE of West Yellowstone, Montana",Montana,North America,44.63,-110.891,10.0,7.2,earthquake
iscgem882668,1959-08-17 21:04:48.610000+00:00,1959-08-17,"67 km WNW of Gizo, Solomon Islands",Solomon Islands,Oceania,-7.776,156.328,25.0,7.01,earthquake
